,activity,start,end,type,user,travel_start,travel_end,case,cost
126,confirm travel expense report,06.01.17 11:04,06.01.17 11:04,Employee,NA4675,22.05.17,27.05.17,1450,
127,decide on travel expense approval,06.01.17 14:01,06.01.17 14:07,Manager,MV9004,22.05.17,27.05.17,1450,
128,send original documents to archive,06.06.17 06:59,06.06.17 07:31,Employee,NA4675,22.05.17,27.05.17,1450,
129,calculate payments,19.06.17 11:01,19.06.17 11:20,Accounting,GU1789,22.05.17,27.05.17,1450,
130,pay expenses,07.05.17 09:04,07.05.17 09:14,Accounting,GU1789,22.05.17,27.05.17,1450,
131,file travel request,01.01.17 21:00,01.02.17 06:13,Employee,LW84,11.04.17,15.04.17,1451,
132,check if travel request needs preliminary price inquiry,01.02.17 06:13,01.02.17 06:15,,,11.04.17,15.04.17,1451,
133,decide on approval requirements,01.02.17 06:15,01.02.17 06:16,,,11.04.17,15.04.17,1451,
134,check if booking is necessary,01.04.17 08:05,01.04.17 08:10,Travel Department,JV9257,11.04.17,15.04.17,1451,
135,prepare booking proposal,01.06.17 10:01,01.06.17 10:31,Travel Department,JV9257,11.04.17,15.04.17,1451,
136,send booking proposal to employee,01.10.17 12:01,01.10.17 12:04,Travel Department,JV9257,11.04.17,15.04.17,1451,
137,check booking proposal,01.10.17 12:16,01.10.17 12:21,Employee,LW84,11.04.17,15.04.17,1451,
138,book travel,01.12.17 14:00,01.12.17 15:55,Travel Department,JV9257,11.04.17,15.04.17,1451,
139,check if expense documents exist,17.04.17 06:59,17.04.17 07:11,Employee,LW84,11.04.17,15.04.17,1451,
140,upload travel expense documents,17.04.17 07:11,17.04.17 07:26,Employee,LW84,11.04.17,15.04.17,1451,
141,file travel expense report,17.04.17 07:26,17.04.17 07:41,Employee,LW84,11.04.17,15.04.17,1451,
142,confirm travel expense report,17.04.17 07:41,17.04.17 07:44,Employee,LW84,11.04.17,15.04.17,1451,
143,decide on travel expense approval,17.04.17 14:05,17.04.17 14:06,Manager,IH7395,11.04.17,15.04.17,1451,
144,send original documents to archive,05.03.17 06:59,05.03.17 07:26,Employee,LW84,11.04.17,15.04.17,1451,
145,calculate payments,05.08.17 11:07,05.08.17 11:35,Accounting,JK6642,11.04.17,15.04.17,1451,
146,pay expenses,22.05.17 10:16,22.05.17 10:22,Accounting,JK6642,11.04.17,15.04.17,1451,
147,file travel request,01.01.17 22:30,01.02.17 06:22,Employee,MU7591,22.02.17,22.02.17,1452,
148,check if travel request needs preliminary price inquiry,01.02.17 06:22,01.02.17 06:23,,,22.02.17,22.02.17,1452,
149,decide on approval requirements,01.02.17 06:23,01.02.17 06:24,,,22.02.17,22.02.17,1452,
150,check if booking is necessary,01.04.17 09:20,01.04.17 09:25,Travel Department,KS9688,22.02.17,22.02.17,1452,
151,check if expense documents exist,03.03.17 12:59,03.03.17 13:27,Employee,MU7591,22.02.17,22.02.17,1452,
152,upload travel expense documents,03.03.17 13:27,03.03.17 13:41,Employee,MU7591,22.02.17,22.02.17,1452,
153,file travel expense report,03.03.17 13:41,03.03.17 13:45,Employee,MU7591,22.02.17,22.02.17,1452,
154,confirm travel expense report,03.03.17 13:45,03.03.17 13:49,Employee,MU7591,22.02.17,22.02.17,1452,
155,decide on travel expense approval,03.06.17 12:59,03.06.17 13:01,Manager,HK6824,22.02.17,22.02.17,1452,
156,send original documents to archive,20.03.17 05:59,20.03.17 06:02,Employee,MU7591,22.02.17,22.02.17,1452,
157,calculate payments,24.03.17 13:33,24.03.17 14:15,Accounting,GR7476,22.02.17,22.02.17,1452,
158,pay expenses,04.03.17 10:28,04.03.17 11:38,Accounting,GR7476,22.02.17,22.02.17,1452,
159,file travel request,01.02.17 00:00,01.02.17 06:21,Employee,EC1664,25.02.17,26.02.17,1453,
160,check if travel request needs preliminary price inquiry,01.02.17 06:21,01.02.17 06:22,,,25.02.17,26.02.17,1453,
161,decide on approval requirements,01.02.17 06:22,01.02.17 06:23,,,25.02.17,26.02.17,1453,
162,check if booking is necessary,01.04.17 09:11,01.04.17 09:13,Travel Department,KS9688,25.02.17,26.02.17,1453,
163,prepare booking proposal,01.06.17 10:36,01.06.17 11:41,Travel Department,KS9688,25.02.17,26.02.17,1453,
164,send booking proposal to employee,01.10.17 12:14,01.10.17 12:16,Travel Department,KS9688,25.02.17,26.02.17,1453,
165,check booking proposal,01.10.17 14:36,01.10.17 14:44,Employee,EC1664,25.02.17,26.02.17,1453,
166,book travel,13.01.17 09:20,13.01.17 10:14,Travel Department,KS9688,25.02.17,26.02.17,1453,
167,check if expense documents exist,03.06.17 05:59,03.06.17 06:20,Employee,EC1664,25.02.17,26.02.17,1453,
168,upload travel expense documents,03.06.17 06:20,03.06.17 06:29,Employee,EC1664,25.02.17,26.02.17,1453,
169,file travel expense report,03.06.17 06:29,03.06.17 06:43,Employee,EC1664,25.02.17,26.02.17,1453,
170,confirm travel expense report,03.06.17 06:43,03.06.17 06:45,Employee,EC1664,25.02.17,26.02.17,1453,
171,decide on travel expense approval,03.06.17 13:04,03.06.17 13:05,Manager,MA6233,25.02.17,26.02.17,1453,
172,send request for travel expense correction,03.06.17 13:05,03.06.17 13:06,,,25.02.17,26.02.17,1453,
173,correct travel expense report,16.03.17 17:02,16.03.17 17:36,Employee,EC1664,25.02.17,26.02.17,1453,
174,decide on travel expense approval,17.03.17 12:59,17.03.17 13:05,Manager,MA6233,25.02.17,26.02.17,1453,
175,send original documents to archive,04.03.17 11:27,04.03.17 12:54,Employee,EC1664,25.02.17,26.02.17,1453,
176,calculate payments,27.04.17 08:04,27.04.17 09:56,Accounting,CX8911,25.02.17,26.02.17,1453,
177,pay expenses,17.05.17 09:07,17.05.17 09:17,Accounting,CX8911,25.02.17,26.02.17,1453,
178,file travel request,01.02.17 01:30,01.02.17 06:12,Employee,RX8685,07.03.17,09.03.17,1454,
179,check if travel request needs preliminary price inquiry,01.02.17 06:12,01.02.17 06:13,,,07.03.17,09.03.17,1454,
180,decide on approval requirements,01.02.17 06:13,01.02.17 06:14,,,07.03.17,09.03.17,1454,
181,check if booking is necessary,01.04.17 08:02,01.04.17 08:05,Travel Department,AW2532,07.03.17,09.03.17,1454,
182,check if expense documents exist,13.03.17 05:59,13.03.17 06:41,Employee,RX8685,07.03.17,09.03.17,1454,
183,upload travel expense documents,13.03.17 06:41,13.03.17 07:12,Employee,RX8685,07.03.17,09.03.17,1454,
184,file travel expense report,13.03.17 07:12,13.03.17 07:27,Employee,RX8685,07.03.17,09.03.17,1454,
185,confirm travel expense report,13.03.17 07:27,13.03.17 07:28,Employee,RX8685,07.03.17,09.03.17,1454,
186,decide on travel expense approval,13.03.17 13:09,13.03.17 13:10,Manager,JH852,07.03.17,09.03.17,1454,
187,send request for travel expense correction,13.03.17 13:10,13.03.17 13:11,,,07.03.17,09.03.17,1454,
188,correct travel expense report,20.03.17 05:59,20.03.17 06:20,Employee,RX8685,07.03.17,09.03.17,1454,
189,decide on travel expense approval,20.03.17 12:59,20.03.17 13:04,Manager,JH852,07.03.17,09.03.17,1454,
190,send original documents to archive,20.03.17 13:32,20.03.17 14:03,Employee,RX8685,07.03.17,09.03.17,1454,
191,calculate payments,04.11.17 08:03,04.11.17 09:38,Accounting,WO40,07.03.17,09.03.17,1454,
192,pay expenses,20.04.17 09:10,20.04.17 09:22,Accounting,WO40,07.03.17,09.03.17,1454,
193,file travel request,01.02.17 03:00,01.02.17 06:15,Employee,YF8079,09.04.17,13.04.17,1455,
194,check if travel request needs preliminary price inquiry,01.02.17 06:15,01.02.17 06:16,,,09.04.17,13.04.17,1455,
195,prepare booking proposal,01.04.17 08:06,01.04.17 09:20,Travel Department,JV9257,09.04.17,13.04.17,1455,
196,send booking proposal to employee,01.06.17 10:38,01.06.17 10:41,Travel Department,JV9257,09.04.17,13.04.17,1455,
197,check booking proposal,01.06.17 16:39,01.06.17 16:41,Employee,YF8079,09.04.17,13.04.17,1455,
198,transform price inquiry to travel request,01.06.17 16:44,01.06.17 16:44,Employee,YF8079,09.04.17,13.04.17,1455,
199,decide on approval requirements,01.06.17 16:44,01.06.17 16:45,,,09.04.17,13.04.17,1455,
200,check if booking is necessary,01.11.17 07:59,01.11.17 08:05,Travel Department,JV9257,09.04.17,13.04.17,1455,
201,prepare booking proposal,13.01.17 14:04,13.01.17 14:36,Travel Department,JV9257,09.04.17,13.04.17,1455,
202,send booking proposal to employee,18.01.17 09:21,18.01.17 09:24,Travel Department,JV9257,09.04.17,13.04.17,1455,
203,check booking proposal,18.01.17 12:54,18.01.17 13:03,Employee,YF8079,09.04.17,13.04.17,1455,
204,book travel,23.01.17 08:53,23.01.17 09:16,Travel Department,JV9257,09.04.17,13.04.17,1455,
205,check if expense documents exist,17.04.17 06:59,17.04.17 07:57,Employee,YF8079,09.04.17,13.04.17,1455,
206,upload travel expense documents,17.04.17 07:57,17.04.17 08:04,Employee,YF8079,09.04.17,13.04.17,1455,
207,file travel expense report,17.04.17 08:04,17.04.17 08:09,Employee,YF8079,09.04.17,13.04.17,1455,
208,confirm travel expense report,17.04.17 08:09,17.04.17 08:11,Employee,YF8079,09.04.17,13.04.17,1455,
209,decide on travel expense approval,17.04.17 14:07,17.04.17 14:08,Manager,YS1169,09.04.17,13.04.17,1455,
210,send request for travel expense correction,17.04.17 14:08,17.04.17 14:08,,,09.04.17,13.04.17,1455,
211,correct travel expense report,21.04.17 07:28,21.04.17 08:21,Employee,YF8079,09.04.17,13.04.17,1455,
212,decide on travel expense approval,21.04.17 13:59,21.04.17 14:04,Manager,YS1169,09.04.17,13.04.17,1455,
213,send original documents to archive,05.02.17 15:13,05.02.17 15:30,Employee,YF8079,09.04.17,13.04.17,1455,
214,calculate payments,05.08.17 09:07,05.08.17 09:54,Accounting,WO40,09.04.17,13.04.17,1455,
215,pay expenses,18.05.17 09:06,18.05.17 09:13,Accounting,WO40,09.04.17,13.04.17,1455,
216,file travel request,01.02.17 04:30,01.02.17 06:14,Employee,SR838,28.01.17,28.01.17,1456,
217,check if travel request needs preliminary price inquiry,01.02.17 06:14,01.02.17 06:15,,,28.01.17,28.01.17,1456,
218,decide on approval requirements,01.02.17 06:15,01.02.17 06:16,,,28.01.17,28.01.17,1456,
219,check if booking is necessary,01.04.17 08:05,01.04.17 08:09,Travel Department,AW2532,28.01.17,28.01.17,1456,
220,prepare booking proposal,01.06.17 09:49,01.06.17 11:43,Travel Department,AW2532,28.01.17,28.01.17,1456,
221,send booking proposal to employee,01.10.17 12:16,01.10.17 12:17,Travel Department,AW2532,28.01.17,28.01.17,1456,
222,check booking proposal,01.10.17 15:29,01.10.17 15:40,Employee,SR838,28.01.17,28.01.17,1456,
223,book travel,13.01.17 10:14,13.01.17 13:30,Travel Department,AW2532,28.01.17,28.01.17,1456,
224,check if expense documents exist,02.06.17 05:59,02.06.17 06:30,Employee,SR838,28.01.17,28.01.17,1456,
225,file travel expense report,02.06.17 06:30,02.06.17 06:36,Employee,SR838,28.01.17,28.01.17,1456,
226,confirm travel expense report,02.06.17 06:36,02.06.17 06:38,Employee,SR838,28.01.17,28.01.17,1456,
227,decide on travel expense approval,02.06.17 13:04,02.06.17 13:04,Manager,YS1169,28.01.17,28.01.17,1456,
228,send original documents to archive,02.10.17 08:26,02.10.17 08:50,Employee,SR838,28.01.17,28.01.17,1456,
229,calculate payments,03.06.17 09:39,03.06.17 10:01,Accounting,WO40,28.01.17,28.01.17,1456,
230,pay expenses,20.03.17 07:59,20.03.17 08:05,Accounting,WO40,28.01.17,28.01.17,1456,
231,file travel request,01.02.17 05:59,01.02.17 06:19,Employee,KC4707,02.03.17,05.03.17,1457,
232,check if travel request needs preliminary price inquiry,01.02.17 06:19,01.02.17 06:20,,,02.03.17,05.03.17,1457,
233,decide on approval requirements,01.02.17 06:20,01.02.17 06:21,,,02.03.17,05.03.17,1457,
234,check if booking is necessary,01.04.17 08:53,01.04.17 08:55,Travel Department,NV2279,02.03.17,05.03.17,1457,
235,check if expense documents exist,13.03.17 05:59,13.03.17 06:15,Employee,KC4707,02.03.17,05.03.17,1457,
236,file travel expense report,13.03.17 06:15,13.03.17 06:22,Employee,KC4707,02.03.17,05.03.17,1457,
237,confirm travel expense report,13.03.17 06:22,13.03.17 06:25,Employee,KC4707,02.03.17,05.03.17,1457,
238,decide on travel expense approval,13.03.17 12:59,13.03.17 13:00,Manager,MU7591,02.03.17,05.03.17,1457,
239,send original documents to archive,28.03.17 21:42,28.03.17 23:06,Employee,KC4707,02.03.17,05.03.17,1457,
240,calculate payments,04.11.17 08:41,04.11.17 10:30,Accounting,JK6642,02.03.17,05.03.17,1457,
241,pay expenses,20.04.17 11:45,20.04.17 11:51,Accounting,JK6642,02.03.17,05.03.17,1457,
242,file travel request,01.02.17 05:59,01.02.17 06:11,Employee,BX590,09.03.17,18.03.17,1458,
243,check if travel request needs preliminary price inquiry,01.02.17 06:11,01.02.17 06:12,,,09.03.17,18.03.17,1458,
244,decide on approval requirements,01.02.17 06:12,01.02.17 06:13,,,09.03.17,18.03.17,1458,
245,forward request to approver,01.02.17 06:13,01.02.17 06:14,,,09.03.17,18.03.17,1458,
246,decide on request,01.02.17 12:59,01.02.17 13:01,Manager,YS1169,09.03.17,18.03.17,1458,
247,check if booking is necessary,01.04.17 13:20,01.04.17 13:25,Travel Department,JV9257,09.03.17,18.03.17,1458,
248,prepare booking proposal,01.06.17 12:19,01.06.17 12:48,Travel Department,JV9257,09.03.17,18.03.17,1458,
249,send booking proposal to employee,01.10.17 13:03,01.10.17 13:03,Travel Department,JV9257,09.03.17,18.03.17,1458,
250,check booking proposal,01.10.17 15:21,01.10.17 15:24,Employee,BX590,09.03.17,18.03.17,1458,
251,book travel,13.01.17 10:11,13.01.17 12:23,Travel Department,JV9257,09.03.17,18.03.17,1458,
